ID;codigoReferenciaMultimedia;codigoReferenciaCliente;ITEM;TIPO;PAÍS;REGIÓN;PROVINCIA;MEDIO;PROGRAMA/CUERPO;CATEGORÍA;TITULO;RESUMEN;FECHA DE EMISIÓN;ENLACE;CM2;SEGUNDOS;VALORIZACIÓN US$;PÁGINA;NIVEL DE LECTURA;PRIMETIME;PORCENTAJE APARICIÓN;CANTIDAD DE CARACTERES;SECCIÓN;AUDIENCIA;LECTURABILIDAD;CIRCULACIÓN;ATRIBUTO(S);Tono Monitoreo;SUBCATEGORÍA
76N%2ftotois5e0WeC4lgIFA%3d%3d;;;MINSALUD;Medio Impreso;Colombia;Caldas;Manizales;La Patria;La Patria;Noticias del Sector;Equipos Básicos en Salud;Los Equipos Básicos en Salud, grupos de profesionales del Ministerio de Salud, funcionan en el hospital San Vicente de Paúl y llegan a los hogares más vulnerables para brindar atención, evitando a estas familias desplazamientos largos y costosos a lo ...;15-09-2025 00:00:00;Enlace;37;0;240500;4;1;0;3;0;Publico;0;197400;65800;;;
Iph6q%2fSDTeIMeJb4ZEECUA%3d%3d;;;MINSALUD;Web;Colombia;Cundinamarca;Bogotá;Pulzo;pulzo.com;Noticias del Sector;Vacunatón en Bogotá: la ciudad refuerza estrategias para protegerse de enfermedades y combatir la desinformación;"La información del Ministerio de Salud de Colombia revela fluctuaciones en la cobertura contra enfermedades prevenibles, con riesgos evidentes de retroceso sanitario tanto en contextos urbanos como rurales.
";15-09-2025 00:31:00;Enlace;0;0;4030000;0;0;0;0;12239;;0;636666;0;;;
9O9IIfOGJ%2bp5z6ruUPtYwg%3d%3d;;;MINSALUD;Web;Colombia;Cesar;Valledupar;Semanario La Calle;semanariolacalle.com;Noticias del Sector;El alcalde de Fonseca 'se hace el loco' con el robo de sueldo al equipo de APS;"Las resoluciones del Ministerio de Salud determinan las actividades y salarios de los trabajadores de la salud.
Fuentes fonsequeras le dijeron a La Calle que el doctor Toro tiene la Fundación Mano amiga de la Gran Colombia, ""donde atiende pacientes ...";15-09-2025 00:32:00;Enlace;0;0;2203500;0;0;0;0;9704;;0;1927,1;0;;;
eNLL1BMObXJ0nkORBHO0MA%3d%3d;;;SUPERSALUD;Web;Colombia;Huila;Neiva;La Nación;lanacion.com.co;Supersalud;Un nuevo ISS - lanacion;"En uno de esos ataques de rabia propios de Petro y como retaliación por el hundimiento del proyecto de reforma a la salud, ordenó a la Supersalud que la interviniera.
Como resultado varias clínicas y hospitales cerraron los servicios, los medicament ...";15-09-2025 02:34:00;Enlace;0;0;3700034;0;0;0;0;2626;;0;100000;0;;;
VLRUUCdaJIArt8GDjoztuA%3d%3d;;;MINSALUD;Medio Impreso;Colombia;Antioquia;Medellín;El Colombiano;El Colombiano;Supersalud;¿Abuso? Petro usó hasta la entidad que reporta temblores para su propaganda contra EPS;Entidades estatales como el Ministerio de Salud, Artesanías de Colombia, Invías, la Unidad de Planificación Rural Agropecuaria y otras, difundieron propaganda del Gobierno en TikTok y otras redes. Roberto Mazzini, identificado como periodista jubilad ...;15-09-2025 02:48:08;Enlace;1013;0;38352180;11;2;0;93;0;Colombia;0;1538617;461585;;;
NdDmXImxrgi%2bnxs9aFJdpg%3d%3d;;;MINSALUD;Web;Colombia;Cesar;Valledupar;La Regional;laregional.net;Noticias del Sector;Por falta de pago: cuatro hospitales en Córdoba suspenden atención a usuarios de Nueva EPS;"Hicieron un llamado urgente al Ministerio de Salud y a la Superintendencia Nacional de Salud para que implementen las medidas necesarias que garanticen el flujo oportuno de recursos económicos y eviten el colapso de la red hospitalaria pública.
";15-09-2025 03:43:00;Enlace;0;0;2100800;0;0;0;0;1326;;0;76800;0;;;
4DRB1ymxlvZxf66dxIPLDQ%3d%3d;;;SUPERSALUD;Medio Impreso;Colombia;Huila;Neiva;La Nación;La Nación;Supersalud;Un nuevo ISS;El gobierno intervino la Nueva EPS, resultando en quejas por el mal servicio y demoras en pagos a IPS y proveedores, cerrando clínicas y hospitales. Desde su intervención, han habido 3 interventores sin mejorar la situación y sin estados financieros. ...;15-09-2025 05:05:31;Enlace;324;0;2099500;10;2;0;22;0;Opinión;0;45000;23000;;;
KcLncFPaRel0XBcG%2bUDKEw%3d%3d;;;MINSALUD;Web;Colombia;Cundinamarca;Bogotá;MSN Colombia;msn.com/es-co;Noticias del Sector;Investigan muerte de mujer que cayó de un puente peatonal en Bogotá, este domingo;"Según el protocolo del Ministerio de Salud, estos son los casos de alerta para que usted sepa a qué le debe poner atención.
";15-09-2025 05:40:00;Enlace;0;0;5000001,5;0;0;0;0;3089;;0;91000;0;;;
5zrKvoNqpZXESq%2fD5LWcDg%3d%3d;;;MINSALUD;Radio;Colombia;Cundinamarca;Bogotá;Blu Radio;Mañanas Blu;Noticias del Sector;Presidente Petro anuncia que no rescatará a EPS en crisis financiera;El presidente Gustavo Petro afirmó que no salvará a ninguna EPS en crisis financiera, incluyendo la Nueva EPS, que tiene más de once millones de afiliados, mientras la Contraloría evidencia que su intervención agravó la deuda y la crisis económica de ...;15-09-2025 05:48:59;Enlace;0;250;28752250;0;0;0;0;0;;1014321;0;0;;;
uXDgqrPcQSdiDV0zY4G7Qg%3d%3d;;;MINSALUD;Web;Colombia;Cundinamarca;Bogotá;Semana;semana.com;Noticias del Sector;Les quedó grande la salud;"Podrían seguir el ejemplo de Andrés Manuel López Obrador, quien revirtió todos sus delirios reformistas deshaciendo a medianoche y hurtadillas todo el daño hecho con su fracasada reforma a la salud.
Por ello, desde 2011 se implementó el giro directo ...";15-09-2025 06:12:00;Enlace;0;0;9641664,5;0;0;0;0;5876;;0;1300000;0;;;
mka%2bfs7ooM2LTI4CQ6Ox0Q%3d%3d;;;MINSALUD;Web;Colombia;Cundinamarca;Bogotá;MSN Colombia;msn.com/es-co;Noticias del Sector;Les quedó grande la salud;"Podrían seguir el ejemplo de Andrés Manuel López Obrador, quien revirtió todos sus delirios reformistas deshaciendo a medianoche y hurtadillas todo el daño hecho con su fracasada reforma a la salud.
Por ello, desde 2011 se implementó el giro directo ...";15-09-2025 06:41:00;Enlace;0;0;5000001,5;0;0;0;0;5713;;0;91000;0;;;
01zZ%2fPIrDRVCNYrXZRUiWA%3d%3d;;;SUPERSALUD;Web;Colombia;Cundinamarca;Bogotá;El Espectador;elespectador.com;Supersalud;Nueva EPS: Supersalud responde al informe de la Contraloría;La Superintendencia de Salud ordenó a la EPS diseñar un plan intensivo, el cual consiste en reunirse con los prestadores de servicios de salud y dejar por escrito, mediante actas, a qué facturas corresponden los pagos que ya se han hecho y que aparec ...;15-09-2025 06:42:00;Enlace;0;0;8000850;0;0;0;0;5006;;0;593000;0;;;
